"id","timeOfPurchase","products","total","currency","paymentMethod","cardNumber","misc","storeId","userId","categoryId"
11,"2021-06-28 04:25:44.423","[{""vat"": 0.2, ""price"": 1.46, ""product"": ""sweet chili sauce"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 4.67, ""product"": ""Sugar Cookies"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 2.82, ""product"": ""chips"", ""isRefunded"": false}]",8.95,"£","card","3852",,20,5,2
12,"2021-07-06 06:46:22.979","[{""vat"": 0.2, ""price"": 5.71, ""product"": ""pork chops"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 4.83, ""product"": ""milk"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 4.99, ""product"": ""sprite"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 3.36, ""product"": ""ketchup"", ""isRefunded"": false}]",18.89,"£","card","3846",,9,3,4
13,"2021-06-21 22:53:16.671","[{""vat"": 0.2, ""price"": 7.22, ""product"": ""crips"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 7.13, ""product"": ""sausages"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 8.45, ""product"": ""chips"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 6.9, ""product"": ""cookies"", ""isRefunded"": false}]",29.7,"$","card","2229",,5,2,7
14,"2021-06-06 07:43:08.915","[{""vat"": 0.2, ""price"": 1.45, ""product"": ""bread"", ""isRefunded"": false}]",1.45,"€","card","5768",,11,1,8
15,"2021-06-10 10:03:40.526","[{""vat"": 0.2, ""price"": 1.61, ""product"": ""avocados"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 5.29, ""product"": ""sweet chili sauce"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 8.27, ""product"": ""frozen peas"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 8.81, ""product"": ""cookies"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 8.4, ""product"": ""rocket salad"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 8.67, ""product"": ""avocados"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 2.08, ""product"": ""rump steak"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 2.66, ""product"": ""pork belly slices"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 3.74, ""product"": ""lettuce"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 5.39, ""product"": ""pork belly slices"", ""isRefunded"": false}]",54.92,"$","card","5768",,8,1,2
16,"2021-06-17 05:31:11.164","[{""vat"": 0.2, ""price"": 6.02, ""product"": ""sprite"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 2.57, ""product"": ""sorghum"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 7.48, ""product"": ""tooth brush"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 6.55, ""product"": ""sprite"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 2.37, ""product"": ""pepsi"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 8.08, ""product"": ""heineken"", ""isRefunded"": false}]",33.07,"$","card","1254",,4,4,2
17,"2021-06-06 03:07:12.049","[{""vat"": 0.2, ""price"": 8.39, ""product"": ""sorghum"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 7.58, ""product"": ""ketchup"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 6.06, ""product"": ""coca cola zero"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 8.57, ""product"": ""Chocolate Chip Cookies"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 2.67, ""product"": ""fanta"", ""isRefunded"": false}]",33.27,"$","card","3852",,3,5,6
18,"2021-05-31 10:47:32.629","[{""vat"": 0.2, ""price"": 4.94, ""product"": ""crips"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 3.92, ""product"": ""fanta"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 3.09, ""product"": ""millet"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 8.02, ""product"": ""frozen peas"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 7.8, ""product"": ""Macaron Cookies"", ""isRefunded"": false}]",27.77,"£","card","3846",,10,3,8
19,"2021-06-14 18:20:27.391","[{""vat"": 0.2, ""price"": 5.03, ""product"": ""amaranth"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 7.44, ""product"": ""Biscotti Cookies"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 3.39, ""product"": ""arrowroot"", ""isRefunded"": false}]",15.86,"€","card","1254",,3,4,8
20,"2021-06-16 14:32:42.733","[{""vat"": 0.2, ""price"": 4.07, ""product"": ""wild rice"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 1.57, ""product"": ""pepsi"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 1.62, ""product"": ""oreos"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 3.55, ""product"": ""sorghum"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 6.5, ""product"": ""cucumber"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 7.94, ""product"": ""cucumber"", ""isRefunded"": false}]",25.25,"$","card","5768",,2,1,3
21,"2021-06-09 19:14:42.098","[{""vat"": 0.2, ""price"": 2.79, ""product"": ""chips"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 7.78, ""product"": ""amaranth"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 3.93, ""product"": ""cookies"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 7.17, ""product"": ""crips"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 3.97, ""product"": ""bread"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 8.57, ""product"": ""arrowroot"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 8.82, ""product"": ""brie"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 6.42, ""product"": ""ketchup"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 7.4, ""product"": ""Shortbread Cookies"", ""isRefunded"": false}]",56.85,"$","card","3852",,15,5,3
22,"2021-06-11 14:00:38.692","[{""vat"": 0.2, ""price"": 5.08, ""product"": ""coca cola zero"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 1.3, ""product"": ""Chocolate Chip Cookies"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 5.38, ""product"": ""cucumber"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 5.06, ""product"": ""Sugar Cookies"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 8.28, ""product"": ""Biscotti Cookies"", ""isRefunded"": false}]",25.1,"€","card","1254",,6,4,8
23,"2021-06-06 15:53:09.883","[{""vat"": 0.2, ""price"": 7.02, ""product"": ""crips"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 8.79, ""product"": ""amaranth"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 6.63, ""product"": ""teff"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 8.96, ""product"": ""milk"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 8.83, ""product"": ""salami"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 3.74, ""product"": ""sausages"", ""isRefunded"": false}]",43.97,"$","card","3852",,20,5,7
24,"2021-06-22 07:38:48.859","[{""vat"": 0.2, ""price"": 5.55, ""product"": ""sweetcorn"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 1.54, ""product"": ""tapioca"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 3.12, ""product"": ""rump steak"", ""isRefunded"": false}]",10.21,"£","card","5768",,14,1,7
25,"2021-06-28 15:45:42.536","[{""vat"": 0.2, ""price"": 2.77, ""product"": ""quinoa"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 2.93, ""product"": ""sprite"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 4.55, ""product"": ""brown rice"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 4.66, ""product"": ""cookies"", ""isRefunded"": false}]",14.91,"€","card","5768",,11,1,2
26,"2021-06-07 01:39:50.112","[{""vat"": 0.2, ""price"": 5.2, ""product"": ""sweet chili sauce"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 5.16, ""product"": ""wild rice"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 4.87, ""product"": ""sweet chili sauce"", ""isRefunded"": false}]",15.23,"£","card","2229",,4,2,3
27,"2021-07-02 01:34:19.735","[{""vat"": 0.2, ""price"": 7.67, ""product"": ""oat milk"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 1.64, ""product"": ""fanta"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 7.42, ""product"": ""chorizo"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 5.14, ""product"": ""brie"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 8.91, ""product"": ""cucumber"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 5.54, ""product"": ""Sugar Cookies"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 4.99, ""product"": ""coca cola"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 8.78, ""product"": ""pepsi"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 2.39, ""product"": ""tomatoes"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 6.21, ""product"": ""brie"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 1.72, ""product"": ""salami"", ""isRefunded"": false}]",60.41,"£","card","5768",,8,1,4
28,"2021-06-11 07:08:56.941","[{""vat"": 0.2, ""price"": 4.06, ""product"": ""brie"", ""isRefunded"": false}]",4.06,"£","card","2229",,7,2,3
29,"2021-06-07 17:59:22.171","[{""vat"": 0.2, ""price"": 4.85, ""product"": ""white wine"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 7.66, ""product"": ""chorizo"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 5.39, ""product"": ""Chocolate Chip Cookies"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 8.42, ""product"": ""oat milk"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 3.18, ""product"": ""tomatoes"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 1.44, ""product"": ""pepsi"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 5.26, ""product"": ""frozen peas"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 7.24, ""product"": ""arrowroot"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 3.87, ""product"": ""chorizo"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 4.68, ""product"": ""oat milk"", ""isRefunded"": false}]",51.99,"£","card","1254",,7,4,7
30,"2021-07-04 06:38:00.853","[{""vat"": 0.2, ""price"": 6.12, ""product"": ""coca cola"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 1.03, ""product"": ""chips"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 5.23, ""product"": ""rump steak"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 5.56, ""product"": ""pork chops"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 6.21, ""product"": ""chorizo"", ""isRefunded"": false}]",24.15,"£","card","3846",,7,3,2
31,"2021-06-20 22:53:27.875","[{""vat"": 0.2, ""price"": 7.25, ""product"": ""sprite"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 3.96, ""product"": ""oreos"", ""isRefunded"": false}]",11.21,"€","card","3846",,16,3,1
32,"2021-06-22 08:13:23.757","[{""vat"": 0.2, ""price"": 3.11, ""product"": ""bread"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 4.54, ""product"": ""lettuce"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 2.87, ""product"": ""cookies"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 2.16, ""product"": ""Chocolate Chip Cookies"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 5.13, ""product"": ""oreos"", ""isRefunded"": false}]",17.81,"£","card","5768",,10,1,3
33,"2021-06-05 22:14:02.525","[{""vat"": 0.2, ""price"": 7.41, ""product"": ""chips"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 8.23, ""product"": ""brown rice"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 4.85, ""product"": ""chips"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 6.58, ""product"": ""wild rice"", ""isRefunded"": false}]",27.07,"€","card","1254",,10,4,6
34,"2021-06-06 14:09:27.079","[{""vat"": 0.2, ""price"": 7.07, ""product"": ""bread"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 2.87, ""product"": ""tomatoes"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 7.05, ""product"": ""rump steak"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 4.32, ""product"": ""coca cola"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 4.52, ""product"": ""tomatoes"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 6.78, ""product"": ""coca cola"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 7.18, ""product"": ""amaranth"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 5.94, ""product"": ""rocket salad"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 3.59, ""product"": ""arrowroot"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 6.54, ""product"": ""tapioca"", ""isRefunded"": false}]",55.86,"£","card","2229",,11,2,5
35,"2021-06-24 21:32:10.185","[{""vat"": 0.2, ""price"": 4.87, ""product"": ""brown rice"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 5.63, ""product"": ""frozen peas"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 1.74, ""product"": ""sprite"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 4.51, ""product"": ""teff"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 1.85, ""product"": ""Chocolate Chip Cookies"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 5.42, ""product"": ""millet"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 4.43, ""product"": ""tapioca"", ""isRefunded"": false}]",28.45,"£","card","5768",,12,1,3
36,"2021-06-29 10:22:33.94","[{""vat"": 0.2, ""price"": 4.99, ""product"": ""oat milk"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 6.04, ""product"": ""ketchup"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 2.45, ""product"": ""brown rice"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 6.52, ""product"": ""bread"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 4.73, ""product"": ""salami"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 7.53, ""product"": ""ketchup"", ""isRefunded"": false}]",32.26,"$","card","2229",,14,2,7
37,"2021-06-09 07:55:33.37","[{""vat"": 0.2, ""price"": 7.79, ""product"": ""oat milk"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 8.87, ""product"": ""Macaron Cookies"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 2.83, ""product"": ""frozen peas"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 8.77, ""product"": ""sprite"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 8.39, ""product"": ""amaranth"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 3.1, ""product"": ""arrowroot"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 5.48, ""product"": ""Biscotti Cookies"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 4.19, ""product"": ""arrowroot"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 1.04, ""product"": ""Gingerbread Cookies"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 6.14, ""product"": ""stella"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 8.3, ""product"": ""red wine"", ""isRefunded"": false}]",64.9,"£","card","2229",,8,2,1
38,"2021-06-02 20:59:47.235","[{""vat"": 0.2, ""price"": 1.98, ""product"": ""red wine"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 1.74, ""product"": ""amaranth"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 8.98, ""product"": ""tomatoes"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 8.55, ""product"": ""frozen peas"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 1.27, ""product"": ""cucumber"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 8.97, ""product"": ""cheese"", ""isRefunded"": false}]",31.49,"€","card","2229",,17,2,2
39,"2021-06-20 18:10:03.103","[{""vat"": 0.2, ""price"": 6.1, ""product"": ""avocados"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 6.91, ""product"": ""red wine"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 6.47, ""product"": ""bread"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 7.24, ""product"": ""white wine"", ""isRefunded"": false}]",26.72,"$","card","1254",,12,4,6
40,"2021-06-17 12:03:45.178","[{""vat"": 0.2, ""price"": 5.93, ""product"": ""tapioca"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 3.6, ""product"": ""buckwheat"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 1.47, ""product"": ""sorghum"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 3.05, ""product"": ""milk"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 7.81, ""product"": ""rump steak"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 1.98, ""product"": ""stella"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 7.28, ""product"": ""mustard"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 2.24, ""product"": ""stella"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 5.86, ""product"": ""bread"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 8.34, ""product"": ""chorizo"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 8.24, ""product"": ""pork chops"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 7.63, ""product"": ""pepsi"", ""isRefunded"": false}]",63.43,"$","card","3852",,6,5,2
41,"2021-06-04 06:27:18.778","[{""vat"": 0.2, ""price"": 3.08, ""product"": ""white wine"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 5.24, ""product"": ""Shortbread Cookies"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 4.41, ""product"": ""heineken"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 4.97, ""product"": ""lettuce"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 6.27, ""product"": ""fanta"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 6.71, ""product"": ""sprite"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 6.17, ""product"": ""oreos"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 6.48, ""product"": ""frozen peas"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 7.03, ""product"": ""chorizo"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 7.56, ""product"": ""millet"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 1.84, ""product"": ""arrowroot"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 4.89, ""product"": ""cheese"", ""isRefunded"": false}]",64.65,"£","card","5768",,12,1,6
